x.bar,y.bar,xybar,x.edge,y.edge,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,letter
9,12,9,5,11,9,12,8,?,11,?,15,12,10,10,F
8,14,17,2,1,7,?,3,?,7,15,15,14,9,2,F
8,11,11,4,1,6,13,8,?,11,?,8,13,11,5,V
8,13,11,3,3,8,13,?,?,11,14,16,14,7,3,Y
9,10,6,8,0,15,?,10,12,10,12,10,12,19,5,N
9,10,10,7,3,?,?,?,?,10,14,18,13,11,4,N
10,16,9,3,1,6,?,5,?,12,15,15,14,10,1,V
10,9,10,1,0,8,10,?,?,10,13,15,12,10,2,I
11,11,12,3,4,7,12,5,6,?,15,?,10,10,4,R
11,10,12,3,4,?,11,?,5,9,13,13,?,10,2,D
9,10,7,8,1,14,10,8,9,12,10,12,13,?,4,N
11,11,10,9,8,5,9,?,13,10,?,14,15,10,12,R
7,10,13,6,5,5,10,?,8,8,?,13,16,11,4,Y
9,8,8,3,6,?,12,?,6,13,13,15,11,?,4,G
16,5,13,3,3,6,9,?,8,12,12,11,?,11,?,A
11,10,9,5,4,11,11,8,10,6,?,?,13,10,?,D
10,10,17,0,2,7,10,3,5,10,14,15,?,?,3,I
10,12,11,7,10,11,13,12,14,10,?,?,9,11,11,R
13,8,13,9,11,7,11,?,12,10,13,?,9,9,?,B
13,10,14,4,10,7,12,?,?,7,11,8,12,?,7,F
10,10,13,3,3,9,11,5,?,?,15,15,11,?,?,D
10,8,9,1,8,15,13,6,?,15,?,?,10,9,3,G
11,10,8,8,0,12,13,?,9,?,?,12,10,17,6,N
9,9,17,0,2,7,12,?,?,11,13,15,11,7,?,I
9,10,10,7,5,?,9,8,7,?,14,15,12,10,5,R
11,16,6,3,2,5,12,5,7,?,14,12,?,10,?,V
17,4,18,1,0,?,11,7,8,?,12,11,11,12,2,J
14,7,10,4,7,?,9,8,9,7,13,11,13,9,?,J
0,1,0,1,0,12,?,9,10,?,?,11,11,10,4,L
11,11,13,4,4,9,10,5,?,10,16,16,11,?,4,H
11,10,9,15,8,8,9,?,?,9,16,?,18,11,13,M
12,10,15,0,2,7,?,6,5,10,12,13,12,7,2,J
10,10,17,0,2,?,12,7,?,12,12,11,12,6,3,I
11,9,10,4,4,?,11,8,10,?,13,?,12,12,4,O
3,11,14,4,5,?,?,?,12,16,14,12,15,7,7,K
9,13,10,2,0,3,14,4,9,?,13,14,?,10,2,Y
6,10,15,2,5,9,10,4,6,15,14,?,14,?,2,C
10,10,9,3,8,?,14,10,12,8,14,?,10,10,?,B
11,10,12,8,6,10,11,16,15,10,14,13,?,7,?,K
8,16,11,3,2,?,?,7,9,10,15,15,12,10,4,V
11,8,16,2,3,9,8,?,8,12,11,?,12,8,4,J
10,12,14,4,9,10,9,9,11,8,14,13,?,?,8,B
11,9,14,3,5,8,12,3,?,11,14,?,10,6,4,E
5,10,14,3,3,8,10,5,?,13,?,?,13,7,?,K
7,11,11,3,6,13,13,?,10,19,13,?,10,10,5,C
6,17,16,0,4,7,?,9,11,3,14,13,14,13,?,P
8,9,12,3,5,?,14,7,7,15,?,16,12,10,5,G
13,9,14,4,6,9,?,11,15,?,14,12,?,?,11,R
10,9,14,2,3,6,?,9,9,13,11,8,12,?,5,J
10,9,8,3,8,9,?,4,?,?,14,19,12,?,5,B
6,9,13,3,6,?,12,?,11,15,12,11,10,12,?,G
10,14,11,2,0,5,11,6,9,?,13,?,?,?,5,Y
7,12,6,12,3,12,?,17,?,15,18,14,?,9,?,M
9,10,14,5,4,?,11,10,14,13,18,13,?,8,8,H
13,16,7,4,2,7,11,?,13,13,?,12,13,10,5,V
10,10,11,0,9,12,11,?,?,11,11,10,12,5,?,Z
12,8,13,3,4,7,12,5,6,?,13,15,13,?,?,D
8,10,19,1,2,?,?,8,7,?,10,9,13,6,2,I
11,7,9,8,5,7,13,7,9,13,14,?,?,12,?,G
5,6,3,2,1,10,9,7,?,10,12,?,12,?,6,L
9,7,9,5,0,18,11,7,?,?,?,12,12,17,4,U
14,4,13,5,8,9,15,12,?,13,13,12,8,9,?,Q
9,11,9,8,11,10,15,10,14,9,13,?,?,11,11,V
6,14,12,2,4,6,11,8,8,7,14,?,17,7,4,Y
9,11,9,3,6,8,11,?,7,10,14,16,11,?,5,R
10,11,9,5,1,?,13,8,9,?,14,13,12,12,2,V
5,12,9,6,4,?,12,?,7,15,14,13,?,14,?,K
9,9,10,3,4,?,10,5,7,10,13,12,11,13,3,O
10,8,9,10,3,?,10,6,7,?,?,16,11,11,4,M
11,11,9,8,11,10,8,6,11,?,15,14,16,?,8,B
12,9,14,4,3,8,10,5,?,?,?,14,11,?,2,D
9,10,10,5,7,10,?,9,10,10,16,?,?,8,?,D
9,9,14,3,6,11,14,6,7,15,?,12,10,?,3,G
10,12,13,7,2,?,12,6,7,10,16,?,12,9,3,N
11,11,9,9,14,7,14,12,15,?,15,12,12,11,16,B
9,11,10,4,9,8,14,8,9,11,13,?,?,9,7,L
12,10,8,6,14,8,10,?,14,?,?,13,15,10,12,Z
11,10,9,3,6,6,11,?,7,?,13,16,13,12,5,Q
9,9,9,5,5,14,10,6,8,10,13,13,13,10,4,O
8,12,9,11,0,6,?,13,15,10,?,10,15,12,9,W
11,6,10,5,5,8,?,8,11,?,13,13,11,9,6,Q
10,10,13,6,1,7,10,5,7,9,15,?,15,?,?,N
4,11,9,4,5,9,13,?,9,15,12,11,?,?,4,K
11,11,7,1,12,14,11,9,12,8,?,12,?,?,4,S
10,8,13,4,12,?,?,11,11,11,?,9,12,8,4,Q
8,9,11,5,15,5,?,9,9,?,14,14,15,11,11,S
10,9,10,1,6,13,12,1,?,18,14,18,?,?,1,C
5,9,9,6,3,10,14,?,7,?,12,13,11,12,2,K
8,9,12,3,6,11,?,7,7,13,13,14,10,10,3,G
1,2,0,1,0,11,?,7,7,7,13,13,13,10,?,L
9,15,8,3,0,4,?,2,5,13,17,18,15,10,2,V
10,10,11,7,13,9,16,10,15,11,?,12,12,11,12,F
7,11,9,5,10,10,10,9,?,?,15,14,?,7,9,T
7,10,13,7,7,9,?,14,11,?,13,?,15,11,5,O
6,15,11,11,3,6,?,13,?,9,14,?,17,10,13,W
5,12,14,2,3,9,13,9,?,13,13,10,14,6,?,Y
9,5,8,7,9,?,7,?,17,10,?,14,8,10,12,Q
6,12,13,7,2,7,9,10,?,?,?,?,11,10,6,N
11,9,8,4,8,?,13,9,9,8,14,?,13,7,5,X
10,9,13,3,6,13,13,?,11,16,14,?,12,10,6,G
7,11,12,8,4,6,11,8,9,10,14,?,?,?,6,W
9,11,10,4,3,10,12,6,?,?,13,13,?,12,5,O
10,8,8,3,8,?,11,9,11,7,14,12,11,11,?,B
12,9,9,9,8,8,?,8,14,11,10,14,?,12,12,Y
10,10,10,5,7,11,11,?,9,?,14,?,8,?,6,R
9,10,10,4,8,11,13,7,6,10,?,11,?,12,5,B
9,9,9,3,8,12,12,5,8,10,?,15,9,?,4,G
7,13,14,2,4,9,?,3,5,7,15,16,?,?,3,F
11,8,11,2,14,8,11,8,11,11,12,11,9,7,?,Z
8,10,9,11,12,6,12,?,13,13,?,?,13,9,11,R
12,9,10,3,3,?,?,10,12,12,10,7,12,?,3,A
8,8,9,7,5,?,12,8,10,?,14,15,13,11,?,C
13,15,8,2,1,5,12,7,7,11,13,13,?,?,4,Y
11,7,14,4,13,?,11,8,13,10,8,?,?,11,6,Z
9,10,10,10,1,13,10,?,12,12,?,?,?,17,6,M
10,11,12,4,13,7,?,12,11,?,13,10,14,10,6,G
8,15,10,11,2,5,12,7,10,?,15,14,14,?,6,W
5,11,14,2,3,11,12,?,6,15,15,16,13,9,3,C
11,11,12,4,4,10,?,8,9,6,13,?,14,10,6,D
11,10,14,3,5,8,?,4,6,?,15,14,12,10,3,B
9,10,10,4,12,?,12,?,11,8,?,12,12,11,7,B
10,9,9,3,8,12,12,7,8,11,14,13,12,6,3,X
7,10,10,4,6,17,11,?,12,7,13,10,13,?,?,D
11,9,9,8,4,13,10,10,12,8,?,8,12,?,?,D
11,7,7,4,6,16,11,?,14,10,12,10,12,?,5,Q
10,13,17,4,7,8,11,?,12,5,13,?,?,9,5,P
8,11,10,11,1,6,12,7,10,11,?,13,12,?,6,W
6,9,14,3,7,11,13,?,11,14,12,?,?,?,4,G
5,15,14,4,2,8,13,9,10,10,12,13,14,?,?,V
12,10,8,5,8,11,14,?,13,13,10,12,11,?,7,Q
10,10,8,4,6,13,12,6,8,13,13,14,13,11,?,Q
10,6,10,4,3,4,10,?,9,?,?,12,12,11,4,A
10,10,9,4,4,?,12,?,?,9,14,?,13,11,5,D
8,11,10,3,10,13,?,9,?,10,11,10,10,?,9,B
9,10,11,4,9,9,11,7,11,11,?,17,13,11,?,Q
10,9,10,3,5,?,12,10,11,9,12,12,?,11,6,O
8,9,14,3,5,?,13,?,13,14,13,14,13,10,6,G
11,12,10,4,11,8,11,?,11,?,12,15,11,10,7,J
12,11,8,5,0,5,13,3,7,11,13,?,13,?,3,V
9,5,12,1,3,8,12,6,6,?,?,13,?,6,3,L
7,15,15,2,3,10,10,11,12,6,12,?,18,7,7,T
6,6,3,1,2,10,8,6,6,8,14,14,13,8,?,L
7,6,3,1,2,11,8,?,4,?,14,16,12,10,2,L
